SID,ISO_TIME,LAT,LON,USA_WIND,USA_PRES,future_pressure_6h,future_wind_6h,future_lat_6h,future_lon_6h,pressure_trend,wind_trend
1966233N13340,1966-08-27 09:00:00,20.7,-66.9,63.0,991.0,986.0,68.0,21.4,-68.2,-2.0,3.0
1966233N13340,1966-08-27 12:00:00,21.0,-67.5,65.0,989.0,983.0,70.0,21.7,-68.9,-2.0,2.0
1966233N13340,1966-08-27 15:00:00,21.4,-68.2,68.0,986.0,981.0,73.0,22.0,-69.5,-3.0,3.0
1966233N13340,1966-08-27 18:00:00,21.7,-68.9,70.0,983.0,979.0,75.0,22.2,-70.0,-3.0,2.0
1966233N13340,1966-08-27 21:00:00,22.0,-69.5,73.0,981.0,976.0,78.0,22.4,-70.3,-2.0,3.0
1966233N13340,1966-08-28 00:00:00,22.2,-70.0,75.0,979.0,973.0,80.0,22.7,-70.4,-2.0,2.0
1966233N13340,1966-08-28 03:00:00,22.4,-70.3,78.0,976.0,968.0,88.0,23.0,-70.6,-3.0,3.0
1966233N13340,1966-08-28 06:00:00,22.7,-70.4,80.0,973.0,962.0,95.0,23.3,-70.7,-3.0,2.0
1966233N13340,1966-08-28 09:00:00,23.0,-70.6,88.0,968.0,960.0,98.0,23.6,-70.9,-5.0,8.0
1966233N13340,1966-08-28 12:00:00,23.3,-70.7,95.0,962.0,957.0,100.0,23.8,-71.0,-6.0,7.0
1966233N13340,1966-08-28 15:00:00,23.6,-70.9,98.0,960.0,956.0,100.0,24.0,-71.1,-2.0,3.0
1966233N13340,1966-08-28 18:00:00,23.8,-71.0,100.0,957.0,955.0,100.0,24.2,-71.1,-3.0,2.0
1966233N13340,1966-08-28 21:00:00,24.0,-71.1,100.0,956.0,958.0,98.0,24.4,-71.1,-1.0,0.0
1966233N13340,1966-08-29 00:00:00,24.2,-71.1,100.0,955.0,960.0,95.0,24.6,-71.1,-1.0,0.0
1966233N13340,1966-08-29 03:00:00,24.4,-71.1,98.0,958.0,962.0,93.0,24.8,-71.1,3.0,-2.0
1966233N13340,1966-08-29 06:00:00,24.6,-71.1,95.0,960.0,963.0,90.0,25.0,-71.1,2.0,-3.0
1966233N13340,1966-08-29 09:00:00,24.8,-71.1,93.0,962.0,963.0,90.0,25.2,-71.1,2.0,-2.0
1966233N13340,1966-08-29 12:00:00,25.0,-71.1,90.0,963.0,963.0,90.0,25.4,-71.2,1.0,-3.0
1966233N13340,1966-08-29 15:00:00,25.2,-71.1,90.0,963.0,963.0,90.0,25.6,-71.3,0.0,0.0
1966233N13340,1966-08-29 18:00:00,25.4,-71.2,90.0,963.0,963.0,90.0,25.8,-71.5,0.0,0.0
1966233N13340,1966-08-29 21:00:00,25.6,-71.3,90.0,963.0,964.0,88.0,26.0,-71.7,0.0,0.0
1966233N13340,1966-08-30 00:00:00,25.8,-71.5,90.0,963.0,965.0,85.0,26.3,-71.9,0.0,0.0
1966233N13340,1966-08-30 03:00:00,26.0,-71.7,88.0,964.0,966.0,85.0,26.6,-72.1,1.0,-2.0
1966233N13340,1966-08-30 06:00:00,26.3,-71.9,85.0,965.0,966.0,85.0,26.9,-72.3,1.0,-3.0
1966233N13340,1966-08-30 09:00:00,26.6,-72.1,85.0,966.0,967.0,85.0,27.2,-72.6,1.0,0.0
1966233N13340,1966-08-30 12:00:00,26.9,-72.3,85.0,966.0,967.0,85.0,27.4,-72.9,0.0,0.0
1966233N13340,1966-08-30 15:00:00,27.2,-72.6,85.0,967.0,967.0,85.0,27.7,-73.1,1.0,0.0
1966233N13340,1966-08-30 18:00:00,27.4,-72.9,85.0,967.0,967.0,85.0,28.0,-73.2,0.0,0.0
1966233N13340,1966-08-30 21:00:00,27.7,-73.1,85.0,967.0,970.0,83.0,28.3,-73.3,0.0,0.0
1966233N13340,1966-08-31 00:00:00,28.0,-73.2,85.0,967.0,973.0,80.0,28.7,-73.4,0.0,0.0
1966233N13340,1966-08-31 03:00:00,28.3,-73.3,83.0,970.0,971.0,83.0,29.0,-73.5,3.0,-2.0
1966233N13340,1966-08-31 06:00:00,28.7,-73.4,80.0,973.0,968.0,85.0,29.4,-73.5,3.0,-3.0
1966233N13340,1966-08-31 09:00:00,29.0,-73.5,83.0,971.0,966.0,88.0,29.9,-73.5,-2.0,3.0
1966233N13340,1966-08-31 12:00:00,29.4,-73.5,85.0,968.0,963.0,90.0,30.5,-73.3,-3.0,2.0
1966233N13340,1966-08-31 15:00:00,29.9,-73.5,88.0,966.0,963.0,90.0,31.1,-73.0,-2.0,3.0
1966233N13340,1966-08-31 18:00:00,30.5,-73.3,90.0,963.0,963.0,90.0,31.7,-72.5,-3.0,2.0
1966233N13340,1966-08-31 21:00:00,31.1,-73.0,90.0,963.0,963.0,90.0,32.3,-72.0,0.0,0.0
1966233N13340,1966-09-01 00:00:00,31.7,-72.5,90.0,963.0,963.0,90.0,32.9,-71.4,0.0,0.0
1966233N13340,1966-09-01 03:00:00,32.3,-72.0,90.0,963.0,963.0,90.0,33.5,-70.8,0.0,0.0
1966233N13340,1966-09-01 06:00:00,32.9,-71.4,90.0,963.0,963.0,90.0,34.0,-70.3,0.0,0.0
1966233N13340,1966-09-01 09:00:00,33.5,-70.8,90.0,963.0,960.0,93.0,34.5,-69.8,0.0,0.0
1966233N13340,1966-09-01 12:00:00,34.0,-70.3,90.0,963.0,957.0,95.0,35.0,-69.2,0.0,0.0
1966233N13340,1966-09-01 15:00:00,34.5,-69.8,93.0,960.0,958.0,95.0,35.4,-68.6,-3.0,3.0
1966233N13340,1966-09-01 18:00:00,35.0,-69.2,95.0,957.0,958.0,95.0,35.8,-68.0,-3.0,2.0
1966233N13340,1966-09-01 21:00:00,35.4,-68.6,95.0,958.0,959.0,95.0,36.2,-67.4,1.0,0.0
1966233N13340,1966-09-02 00:00:00,35.8,-68.0,95.0,958.0,960.0,95.0,36.5,-66.8,0.0,0.0
1966233N13340,1966-09-02 03:00:00,36.2,-67.4,95.0,959.0,950.0,105.0,37.5,-57.0,1.0,0.0
1966233N13340,1966-09-02 06:00:00,36.5,-66.8,95.0,960.0,954.0,90.0,47.5,-40.0,1.0,0.0
2001141N14068,2001-05-21 06:00:00,13.7,68.1,25.0,1002.0,1002.0,30.0,13.7,69.0,0.0,0.0
2001141N14068,2001-05-21 09:00:00,13.7,68.5,28.0,1002.0,1000.0,33.0,13.6,69.5,0.0,3.0
2001141N14068,2001-05-21 12:00:00,13.7,69.0,30.0,1002.0,997.0,35.0,13.6,69.9,0.0,2.0
2001141N14068,2001-05-21 15:00:00,13.6,69.5,33.0,1000.0,994.0,40.0,13.6,70.1,-2.0,3.0
2001141N14068,2001-05-21 18:00:00,13.6,69.9,35.0,997.0,991.0,45.0,13.9,70.8,-3.0,2.0
2001141N14068,2001-05-21 21:00:00,13.6,70.1,40.0,994.0,986.0,53.0,14.0,71.2,-3.0,5.0
2001141N14068,2001-05-22 00:00:00,13.9,70.8,45.0,991.0,980.0,60.0,14.1,71.4,-3.0,5.0
2001141N14068,2001-05-22 03:00:00,14.0,71.2,53.0,986.0,978.0,63.0,14.1,71.5,-5.0,8.0
2001141N14068,2001-05-22 06:00:00,14.1,71.4,60.0,980.0,976.0,65.0,14.3,71.6,-6.0,7.0
2001141N14068,2001-05-22 09:00:00,14.1,71.5,63.0,978.0,974.0,68.0,14.3,71.6,-2.0,3.0
2001141N14068,2001-05-22 12:00:00,14.3,71.6,65.0,976.0,972.0,70.0,14.4,71.6,-2.0,2.0
2001141N14068,2001-05-22 15:00:00,14.3,71.6,68.0,974.0,970.0,73.0,14.8,71.5,-2.0,3.0
2001141N14068,2001-05-22 18:00:00,14.4,71.6,70.0,972.0,967.0,75.0,15.0,71.5,-2.0,2.0
2001141N14068,2001-05-22 21:00:00,14.8,71.5,73.0,970.0,967.0,78.0,15.3,71.3,-2.0,3.0
2001141N14068,2001-05-23 00:00:00,15.0,71.5,75.0,967.0,967.0,80.0,15.6,71.0,-3.0,2.0
2001141N14068,2001-05-23 03:00:00,15.3,71.3,78.0,967.0,963.0,83.0,15.9,70.8,0.0,3.0
2001141N14068,2001-05-23 06:00:00,15.6,71.0,80.0,967.0,958.0,85.0,16.0,70.5,0.0,2.0
2001141N14068,2001-05-23 09:00:00,15.9,70.8,83.0,963.0,956.0,90.0,16.1,70.4,-4.0,3.0
2001141N14068,2001-05-23 12:00:00,16.0,70.5,85.0,958.0,954.0,95.0,16.2,70.4,-5.0,2.0
2001141N14068,2001-05-23 15:00:00,16.1,70.4,90.0,956.0,952.0,98.0,16.3,70.0,-2.0,5.0
2001141N14068,2001-05-23 18:00:00,16.2,70.4,95.0,954.0,949.0,100.0,16.4,69.7,-2.0,5.0
2001141N14068,2001-05-23 21:00:00,16.3,70.0,98.0,952.0,938.0,105.0,16.6,69.5,-2.0,3.0
2001141N14068,2001-05-24 00:00:00,16.4,69.7,100.0,949.0,927.0,110.0,16.9,69.0,-3.0,2.0
2001141N14068,2001-05-24 03:00:00,16.6,69.5,105.0,938.0,927.0,110.0,16.9,68.5,-11.0,5.0
2001141N14068,2001-05-24 06:00:00,16.9,69.0,110.0,927.0,927.0,110.0,16.9,68.4,-11.0,5.0
2001141N14068,2001-05-24 09:00:00,16.9,68.5,110.0,927.0,927.0,105.0,16.9,68.3,0.0,0.0
2001141N14068,2001-05-24 12:00:00,16.9,68.4,110.0,927.0,927.0,100.0,17.0,68.3,0.0,0.0
2001141N14068,2001-05-24 15:00:00,16.9,68.3,105.0,927.0,936.0,95.0,17.0,68.0,0.0,-5.0
2001141N14068,2001-05-24 18:00:00,17.0,68.3,100.0,927.0,944.0,90.0,17.0,67.8,0.0,-5.0
2001141N14068,2001-05-24 21:00:00,17.0,68.0,95.0,936.0,944.0,90.0,17.1,68.0,9.0,-5.0
2001141N14068,2001-05-25 00:00:00,17.0,67.8,90.0,944.0,944.0,90.0,17.1,67.9,8.0,-5.0
2001141N14068,2001-05-25 03:00:00,17.1,68.0,90.0,944.0,951.0,85.0,17.1,67.8,0.0,0.0
2001141N14068,2001-05-25 06:00:00,17.1,67.9,90.0,944.0,958.0,80.0,17.2,67.6,0.0,0.0
2001141N14068,2001-05-25 09:00:00,17.1,67.8,85.0,951.0,958.0,78.0,17.1,67.8,7.0,-5.0
2001141N14068,2001-05-25 12:00:00,17.2,67.6,80.0,958.0,958.0,75.0,17.1,67.9,7.0,-5.0
2001141N14068,2001-05-25 15:00:00,17.1,67.8,78.0,958.0,965.0,70.0,17.0,67.7,0.0,-2.0
2001141N14068,2001-05-25 18:00:00,17.1,67.9,75.0,958.0,972.0,65.0,17.3,67.7,0.0,-3.0
2001141N14068,2001-05-25 21:00:00,17.0,67.7,70.0,965.0,976.0,63.0,17.3,67.7,7.0,-5.0
2001141N14068,2001-05-26 00:00:00,17.3,67.7,65.0,972.0,980.0,60.0,17.4,67.7,7.0,-5.0
2001141N14068,2001-05-26 03:00:00,17.3,67.7,63.0,976.0,982.0,58.0,17.4,67.6,4.0,-2.0
2001141N14068,2001-05-26 06:00:00,17.4,67.7,60.0,980.0,984.0,55.0,17.6,67.7,4.0,-3.0
2001141N14068,2001-05-26 09:00:00,17.4,67.6,58.0,982.0,986.0,53.0,17.7,67.6,2.0,-2.0
2001141N14068,2001-05-26 12:00:00,17.6,67.7,55.0,984.0,987.0,50.0,17.8,67.6,2.0,-3.0
2001141N14068,2001-05-26 15:00:00,17.7,67.6,53.0,986.0,987.0,50.0,18.1,67.6,2.0,-2.0
2001141N14068,2001-05-26 18:00:00,17.8,67.6,50.0,987.0,987.0,50.0,18.2,67.6,1.0,-3.0
2001141N14068,2001-05-26 21:00:00,18.1,67.6,50.0,987.0,989.0,48.0,18.2,67.5,0.0,0.0
2001141N14068,2001-05-27 00:00:00,18.2,67.6,50.0,987.0,991.0,45.0,18.3,67.6,0.0,0.0
2001141N14068,2001-05-27 03:00:00,18.2,67.5,48.0,989.0,991.0,45.0,18.4,67.5,2.0,-2.0
2001141N14068,2001-05-27 06:00:00,18.3,67.6,45.0,991.0,991.0,45.0,19.0,67.6,2.0,-3.0
2001141N14068,2001-05-27 09:00:00,18.4,67.5,45.0,991.0,993.0,43.0,19.1,67.8,0.0,0.0
2001141N14068,2001-05-27 12:00:00,19.0,67.6,45.0,991.0,994.0,40.0,19.3,67.9,0.0,0.0
2001141N14068,2001-05-27 15:00:00,19.1,67.8,43.0,993.0,994.0,40.0,19.6,67.8,2.0,-2.0
2001141N14068,2001-05-27 18:00:00,19.3,67.9,40.0,994.0,994.0,40.0,19.7,67.9,1.0,-3.0
2001141N14068,2001-05-27 21:00:00,19.6,67.8,40.0,994.0,997.0,35.0,20.0,68.0,0.0,0.0
2001141N14068,2001-05-28 00:00:00,19.7,67.9,40.0,994.0,1000.0,30.0,20.1,68.1,0.0,0.0
2001141N14068,2001-05-28 03:00:00,20.0,68.0,35.0,997.0,1000.0,30.0,20.3,68.2,3.0,-5.0
2001141N14068,2001-05-28 06:00:00,20.1,68.1,30.0,1000.0,1000.0,30.0,21.0,68.5,3.0,-5.0
2001141N14068,2001-05-28 09:00:00,20.3,68.2,30.0,1000.0,999.0,28.0,21.2,68.3,0.0,0.0
2001141N14068,2001-05-28 12:00:00,21.0,68.5,30.0,1000.0,997.0,25.0,21.7,68.4,0.0,0.0
2001141N14068,2001-05-28 15:00:00,21.2,68.3,28.0,999.0,1000.0,25.0,21.9,68.2,-1.0,-2.0
2001141N14068,2001-05-28 18:00:00,21.7,68.4,25.0,997.0,1002.0,25.0,22.1,68.0,-2.0,-3.0
2001141N14068,2001-05-28 21:00:00,21.9,68.2,25.0,1000.0,1003.0,23.0,22.5,67.9,3.0,0.0
2001141N14068,2001-05-29 00:00:00,22.1,68.0,25.0,1002.0,1004.0,20.0,22.8,68.2,2.0,0.0
2001141N14068,2001-05-29 03:00:00,22.5,67.9,23.0,1003.0,1001.0,38.0,23.1,68.5,1.0,-2.0
2001141N14068,2001-05-29 06:00:00,22.8,68.2,20.0,1004.0,997.0,55.0,23.4,68.8,1.0,-3.0
2001267N17070,2001-09-24 00:00:00,16.6,69.8,25.0,1002.0,1002.0,25.0,16.7,69.5,0.0,0.0
2001267N17070,2001-09-24 03:00:00,16.6,69.7,25.0,1002.0,1002.0,25.0,16.8,69.4,0.0,0.0
2001267N17070,2001-09-24 06:00:00,16.7,69.5,25.0,1002.0,1002.0,25.0,16.9,69.3,0.0,0.0
2001267N17070,2001-09-24 09:00:00,16.8,69.4,25.0,1002.0,1003.0,25.0,16.9,69.1,0.0,0.0
2001267N17070,2001-09-24 12:00:00,16.9,69.3,25.0,1002.0,1003.0,25.0,16.9,69.0,0.0,0.0
2001267N17070,2001-09-24 15:00:00,16.9,69.1,25.0,1003.0,1002.0,28.0,16.9,68.9,1.0,0.0
2001267N17070,2001-09-24 18:00:00,16.9,69.0,25.0,1003.0,1000.0,30.0,17.0,68.9,0.0,0.0
2001267N17070,2001-09-24 21:00:00,16.9,68.9,28.0,1002.0,1000.0,30.0,17.0,68.5,-1.0,3.0
2001267N17070,2001-09-25 00:00:00,17.0,68.9,30.0,1000.0,1000.0,30.0,17.1,68.2,-2.0,2.0
2001267N17070,2001-09-25 03:00:00,17.0,68.5,30.0,1000.0,1001.0,28.0,17.1,68.1,0.0,0.0
2001267N17070,2001-09-25 06:00:00,17.1,68.2,30.0,1000.0,1002.0,25.0,17.2,68.1,0.0,0.0
2001267N17070,2001-09-25 09:00:00,17.1,68.1,28.0,1001.0,997.0,35.0,17.9,66.8,1.0,-2.0
2001267N17070,2001-09-25 12:00:00,17.2,68.1,25.0,1002.0,997.0,35.0,18.2,66.4,1.0,-3.0
2001267N17070,2001-09-26 06:00:00,17.9,66.8,35.0,997.0,997.0,35.0,18.4,66.0,-5.0,10.0
2001267N17070,2001-09-26 09:00:00,18.2,66.4,35.0,997.0,997.0,35.0,18.6,65.8,0.0,0.0
2001267N17070,2001-09-26 12:00:00,18.4,66.0,35.0,997.0,997.0,35.0,18.6,65.3,0.0,0.0
2001267N17070,2001-09-26 15:00:00,18.6,65.8,35.0,997.0,997.0,35.0,18.6,65.1,0.0,0.0
2001267N17070,2001-09-26 18:00:00,18.6,65.3,35.0,997.0,997.0,35.0,18.7,64.7,0.0,0.0
2001267N17070,2001-09-26 21:00:00,18.6,65.1,35.0,997.0,999.0,33.0,18.7,64.0,0.0,0.0
2001267N17070,2001-09-27 00:00:00,18.7,64.7,35.0,997.0,1000.0,30.0,18.7,63.8,0.0,0.0
2001267N17070,2001-09-27 03:00:00,18.7,64.0,33.0,999.0,1000.0,30.0,18.7,63.5,2.0,-2.0
2001267N17070,2001-09-27 06:00:00,18.7,63.8,30.0,1000.0,1000.0,30.0,18.8,63.3,1.0,-3.0
2001267N17070,2001-09-27 09:00:00,18.7,63.5,30.0,1000.0,1000.0,30.0,18.8,63.0,0.0,0.0
2001267N17070,2001-09-27 12:00:00,18.8,63.3,30.0,1000.0,1000.0,30.0,18.9,62.7,0.0,0.0
2001267N17070,2001-09-27 15:00:00,18.8,63.0,30.0,1000.0,1002.0,25.0,19.0,62.3,0.0,0.0
2001267N17070,2001-09-27 18:00:00,18.9,62.7,30.0,1000.0,1004.0,20.0,19.2,62.0,0.0,0.0
2001267N17070,2001-09-27 21:00:00,19.0,62.3,25.0,1002.0,1004.0,20.0,19.2,61.7,2.0,-5.0
2001267N17070,2001-09-28 00:00:00,19.2,62.0,20.0,1004.0,1004.0,20.0,19.2,61.5,2.0,-5.0
2001267N17070,2001-09-28 03:00:00,19.2,61.7,20.0,1004.0,1004.0,20.0,19.3,61.3,0.0,0.0
2001267N17070,2001-09-28 06:00:00,19.2,61.5,20.0,1004.0,1004.0,20.0,19.4,61.1,0.0,0.0
2001281N18071,2001-10-08 06:00:00,17.7,70.8,25.0,1002.0,1002.0,25.0,17.9,70.2,0.0,0.0
2001281N18071,2001-10-08 09:00:00,17.8,70.5,25.0,1002.0,1002.0,25.0,18.0,70.0,0.0,0.0
2001281N18071,2001-10-08 12:00:00,17.9,70.2,25.0,1002.0,1002.0,25.0,18.1,69.8,0.0,0.0
2001281N18071,2001-10-08 15:00:00,18.0,70.0,25.0,1002.0,1002.0,25.0,18.2,69.9,0.0,0.0
2001281N18071,2001-10-08 18:00:00,18.1,69.8,25.0,1002.0,1002.0,25.0,18.4,69.8,0.0,0.0
2001281N18071,2001-10-08 21:00:00,18.2,69.9,25.0,1002.0,1001.0,28.0,18.5,69.7,0.0,0.0
2001281N18071,2001-10-09 00:00:00,18.4,69.8,25.0,1002.0,1000.0,30.0,18.6,69.2,0.0,0.0
2001281N18071,2001-10-09 03:00:00,18.5,69.7,28.0,1001.0,999.0,33.0,18.8,68.8,-1.0,3.0
2001281N18071,2001-10-09 06:00:00,18.6,69.2,30.0,1000.0,997.0,35.0,18.8,68.4,-1.0,2.0
2001281N18071,2001-10-09 09:00:00,18.8,68.8,33.0,999.0,999.0,33.0,18.7,68.3,-1.0,3.0
2001281N18071,2001-10-09 12:00:00,18.8,68.4,35.0,997.0,1000.0,30.0,18.7,68.0,-2.0,2.0
2001281N18071,2001-10-09 15:00:00,18.7,68.3,33.0,999.0,1000.0,30.0,18.6,67.9,2.0,-2.0
2001281N18071,2001-10-09 18:00:00,18.7,68.0,30.0,1000.0,1000.0,30.0,18.5,67.8,1.0,-3.0
2001281N18071,2001-10-09 21:00:00,18.6,67.9,30.0,1000.0,1001.0,28.0,18.3,67.8,0.0,0.0
2001281N18071,2001-10-10 00:00:00,18.5,67.8,30.0,1000.0,1002.0,25.0,18.2,67.8,0.0,0.0
2001281N18071,2001-10-10 03:00:00,18.3,67.8,28.0,1001.0,1003.0,23.0,18.1,67.7,1.0,-2.0
2001281N18071,2001-10-10 06:00:00,18.2,67.8,25.0,1002.0,1004.0,20.0,18.1,67.7,1.0,-3.0
2001281N18071,2001-10-10 09:00:00,18.1,67.7,23.0,1003.0,1003.0,23.0,18.4,67.6,1.0,-2.0
2001281N18071,2001-10-10 12:00:00,18.1,67.7,20.0,1004.0,1002.0,25.0,18.6,67.5,1.0,-3.0
2001281N18071,2001-10-10 15:00:00,18.4,67.6,23.0,1003.0,1002.0,25.0,18.6,67.3,-1.0,3.0
2001281N18071,2001-10-10 18:00:00,18.6,67.5,25.0,1002.0,1002.0,25.0,18.6,67.0,-1.0,2.0
2001281N18071,2001-10-10 21:00:00,18.6,67.3,25.0,1002.0,1002.0,25.0,18.7,66.7,0.0,0.0
2001281N18071,2001-10-11 00:00:00,18.6,67.0,25.0,1002.0,1002.0,25.0,18.7,66.4,0.0,0.0
2001281N18071,2001-10-11 03:00:00,18.7,66.7,25.0,1002.0,1004.0,20.0,18.7,66.2,0.0,0.0
2001281N18071,2001-10-11 06:00:00,18.7,66.4,25.0,1002.0,1006.0,15.0,18.7,66.1,0.0,0.0
2001281N18071,2001-10-11 09:00:00,18.7,66.2,20.0,1004.0,1005.0,18.0,18.7,66.1,2.0,-5.0
2001281N18071,2001-10-11 12:00:00,18.7,66.1,15.0,1006.0,1004.0,20.0,18.8,66.1,2.0,-5.0
2001281N18071,2001-10-11 15:00:00,18.7,66.1,18.0,1005.0,1004.0,20.0,18.9,66.1,-1.0,3.0
2001281N18071,2001-10-11 18:00:00,18.8,66.1,20.0,1004.0,1004.0,20.0,18.9,66.2,-1.0,2.0
2001281N18071,2001-10-11 21:00:00,18.9,66.1,20.0,1004.0,1004.0,20.0,18.9,66.3,0.0,0.0
2001281N18071,2001-10-12 00:00:00,18.9,66.2,20.0,1004.0,1004.0,20.0,19.0,66.3,0.0,0.0
2001281N18071,2001-10-12 03:00:00,18.9,66.3,20.0,1004.0,1004.0,20.0,19.1,66.3,0.0,0.0
2001281N18071,2001-10-12 06:00:00,19.0,66.3,20.0,1004.0,1004.0,20.0,19.3,66.3,0.0,0.0
2001281N18071,2001-10-12 09:00:00,19.1,66.3,20.0,1004.0,1004.0,20.0,19.5,66.3,0.0,0.0
2001281N18071,2001-10-12 12:00:00,19.3,66.3,20.0,1004.0,1004.0,20.0,19.6,66.2,0.0,0.0
2001281N18071,2001-10-12 15:00:00,19.5,66.3,20.0,1004.0,1004.0,20.0,19.7,66.1,0.0,0.0
2001281N18071,2001-10-12 18:00:00,19.6,66.2,20.0,1004.0,1004.0,20.0,19.8,65.8,0.0,0.0
2001281N18071,2001-10-12 21:00:00,19.7,66.1,20.0,1004.0,1004.0,20.0,19.9,65.4,0.0,0.0
2001281N18071,2001-10-13 00:00:00,19.8,65.8,20.0,1004.0,1004.0,20.0,20.0,65.0,0.0,0.0
2001313N12084,2001-11-09 00:00:00,12.0,83.6,25.0,1002.0,1002.0,25.0,12.9,83.0,0.0,0.0
2001313N12084,2001-11-09 03:00:00,12.5,83.3,25.0,1002.0,1002.0,25.0,13.1,82.8,0.0,0.0
2001313N12084,2001-11-09 06:00:00,12.9,83.0,25.0,1002.0,1002.0,25.0,13.2,82.7,0.0,0.0
2001313N12084,2001-11-09 09:00:00,13.1,82.8,25.0,1002.0,1002.0,25.0,13.4,82.5,0.0,0.0
2001313N12084,2001-11-09 12:00:00,13.2,82.7,25.0,1002.0,1002.0,25.0,13.6,82.4,0.0,0.0
2001313N12084,2001-11-09 15:00:00,13.4,82.5,25.0,1002.0,1002.0,25.0,13.7,82.3,0.0,0.0
2001313N12084,2001-11-09 18:00:00,13.6,82.4,25.0,1002.0,1002.0,25.0,13.8,82.2,0.0,0.0
2001313N12084,2001-11-09 21:00:00,13.7,82.3,25.0,1002.0,1002.0,25.0,13.9,82.1,0.0,0.0
2001313N12084,2001-11-10 00:00:00,13.8,82.2,25.0,1002.0,1002.0,25.0,14.1,82.1,0.0,0.0
